Date,Open,High,Low,Close,Adj Close,Volume
2009-07-29,116.360001,117.279999,116.050003,117.260002,92.298698,5100900
2009-07-30,118.000000,119.370003,117.669998,117.860001,92.770973,6803100
2009-07-31,117.559998,118.989998,117.559998,117.930000,92.826065,5329600
2009-08-03,118.879997,119.959999,118.690002,119.919998,94.392448,6108200
2009-08-04,119.169998,119.800003,119.019997,119.599998,94.140556,4993500
2009-08-05,118.519997,119.000000,117.860001,118.470001,93.251122,5025800
2009-08-06,118.309998,118.400002,116.699997,117.379997,92.824074,6003100
2009-08-07,118.110001,119.910004,118.110001,119.330002,94.366135,5763200
2009-08-10,118.169998,119.190002,117.970001,118.699997,93.867935,3981300
2009-08-11,118.029999,118.500000,117.320000,117.790001,93.148285,4844500
2009-08-12,117.599998,119.959999,117.419998,119.290001,94.334503,6289700
2009-08-13,119.279999,119.779999,118.629997,119.580002,94.563850,5489200
2009-08-14,119.290001,119.739998,117.620003,118.570000,93.765144,4796400
2009-08-17,116.690002,117.440002,116.209999,116.860001,92.412849,5349600
2009-08-18,116.809998,118.000000,116.730003,117.629997,93.021751,4286200
2009-08-19,116.360001,118.769997,116.120003,118.570000,93.765144,4837900
2009-08-20,118.440002,119.410004,118.099998,118.949997,94.065651,4841700
2009-08-21,119.650002,120.010002,118.550003,119.900002,94.816902,8306800
2009-08-24,119.919998,120.879997,119.099998,119.320000,94.358231,6363400
2009-08-25,119.250000,120.150002,118.709999,118.830002,93.970741,4652200
2009-08-26,118.639999,119.849998,117.510002,119.470001,94.476883,4515500
2009-08-27,118.730003,119.589996,117.849998,119.430000,94.445221,4356900
2009-08-28,120.099998,120.230003,117.769997,118.220001,93.488373,6235700
2009-08-31,117.099998,118.059998,116.919998,118.050003,93.353928,5439400
2009-09-01,117.669998,118.930000,116.500000,116.690002,92.278435,6303800
2009-09-02,116.339996,117.239998,116.000000,116.089996,91.803940,5178800
2009-09-03,116.550003,116.730003,115.150002,116.330002,91.993736,4936200
2009-09-04,116.580002,117.500000,116.209999,117.459999,92.887360,3451700
2009-09-08,117.940002,118.169998,116.629997,117.160004,92.650116,5797500
2009-09-09,117.029999,117.669998,116.160004,116.760002,92.333794,5248100
2009-09-10,116.989998,117.830002,116.750000,117.669998,93.053398,4889400
2009-09-11,117.800003,119.250000,117.470001,118.050003,93.353928,5893700
2009-09-14,117.000000,118.989998,116.940002,118.879997,94.010300,4758600
2009-09-15,118.779999,119.449997,118.160004,119.349998,94.381958,6536000
2009-09-16,119.500000,122.000000,119.300003,121.820000,96.335228,11236700
2009-09-17,121.139999,122.779999,121.050003,121.879997,96.382683,8392600
